ticker,quarter,call_date,sentiment_call,guidance_call,n_pres_risks,n_qa_only_risks,top_qa_only_risks
AMD,Q4-2023,2024-01-30,0.4698688448782954,lowered,5,9,cloud digestion; cloud digestion going on within epyc business; competitive environment; headwind from embedded business in q1 and q2; instinct ramp kinks
AMD,Q1-2024,2024-04-30,0.5022412986657845,raised,5,9,competitive pressure; gaming demand has been weak inventory levels high; gpu gross margin below data center gross margin level; market headwinds; potential for aggressive pricing by competitors
AMD,Q2-2024,2024-07-30,0.5592850486100334,raised,5,8,challenges in ramping up software capabilities; competitive intensity; gradual recovery of embedded business; memory challenges; potential for customers to consolidate capex around other suppliers
AMD,Q3-2024,2024-10-29,0.6112894813838329,raised,5,11,china market; client business; client business headwind due to consumer focus; competition from industry leaders in the ai market; embedded business recovery being muted
AMD,Q4-2024,2025-02-04,0.5378133870360535,raised,5,5,inventory buildup; sequential down; sequential growth slows for next 3 quarters; shift to focus on training versus inference; uncertainty
AMD,Q1-2025,2025-05-06,0.5731903964252897,raised,5,12,800 million charge related to mi308; ai diffusion rules; china export controls; china export controls on mi308; china headwind
AMD,Q2-2025,2025-08-05,0.5590533834796618,lowered,5,5,long lead times for instinct family parts measured in months; margin dilution from data center gpus; regulatory things that need to be worked through on the sovereign side; time required for mi308 license and supply chain ramp up; uncertainties out there affecting client business growth
AMD,Q3-2025,2025-11-04,0.6283669050609862,none,5,5,component issues across interconnected memory; customer concentration; customer concentration risk due to openai s potential dominance in 2027 2028; ecosystem tightness; supply constraints
AMD,Q4-2025,2026-02-03,0.5745141938379278,raised,5,14,china revenue; china revenue forecast; double digit revenue decline in gaming segment; inflationary costs and potential impact on pricing; instinct number
AVGO,Q1-2024,2024-03-07,0.2506547603871762,maintained,5,7,customer segmentation; dependence on customer s success with custom silicon; market outlook softened; market slowdown; potential increase in opex as a share of sales due to expanded customer base
AVGO,Q2-2024,2024-06-12,0.21215021086810007,raised,5,6,ai margin dilution; channel conflict; increased competition from new entrant in custom asic ai market; inventory correction; inventory correction in non ai semiconductor business
AVGO,Q3-2024,2024-09-05,0.23542151451507298,raised,5,6,cyclical semiconductors; enterprise ai market; potential shift in customer purchasing back to gpus; supply constraints for ai accelerators; transition to custom asics may take time and be costly
AVGO,Q4-2024,2024-12-12,0.35757915003688207,raised,5,10,broadcom s earnings conference call will follow at 2 00 p m pacific time; debt; dependence on only three hyperscale customers for ai revenue; margin dilution; no clear tam
AVGO,Q1-2025,2025-03-06,0.29290394150877863,raised,5,6,china; disruption; geopolitical tensions and dramatic actions by governments; new regulations or ai diffusion rules impacting existing customers; tariffs
AVGO,Q2-2025,2025-06-05,0.36040285969135055,maintained,5,8,custom is probably dilutive within semis; export controls; export controls on ai; lead times; lumpy quarters
AVGO,Q3-2025,2025-09-04,0.3003781402568541,raised,5,8,competition from other vendors on asic side; cyclical semiconductor cycles; non ai recovery; potential delay or failure to deploy 10 billion backlog; semiconductor margins lower
AVGO,Q4-2025,2025-12-11,0.41705814508688915,raised,5,11,dependence on a few large customers; dilutive gross margins; future guidance delay; gross margin deterioration; lower gross margins
AVGO,Q1-2026,2026-03-04,0.5102914937139432,raised,5,9,challenges in maintaining high yields and costs as ai product sales increase; competition from customer owned tooling cot initiatives by hyperscalers; competitive pressures; cot initiatives have been unsuccessful in the past; customer uncertainty
BLK,Q4-2023,2024-01-12,0.5092993896213582,none,5,3,cultural differences; market volatility; rate uncertainty
BLK,Q1-2024,2024-04-12,0.4732044172330321,raised,5,15,comp ratio; delay in more allocations to fixed income due to attractive yields; european etf competition; fixed income flows; gip acquisition
BLK,Q2-2024,2024-07-15,0.5824348367448418,raised,5,6,clients increasing demand for technology and data services to drive operating leverage; legacy systems; market volatility and potential for rate cuts to normalize bond markets; potential for clients to migrate out of banks to money market funds or other cash management options; rate cuts
BLK,Q3-2024,2024-10-11,0.6139567713618628,raised,5,3,market movement; regulatory issues; uncertainty
BLK,Q4-2024,2025-01-15,0.5378827804306492,raised,5,6,higher for longer rates; macro events; potential roadblocks in growing wealth manager and retail allocations to private markets; regulatory hurdles; regulatory reforms or safe harbors needed for private markets in dc plans
BLK,Q1-2025,2025-04-11,0.477740862297086,raised,5,12,client capitulation; european market uncertainty; inflationary pressures and economic risks in the short run; litigation reform; litigation reform or advice reform needed for private markets disclosure in dc plans
BLK,Q2-2025,2025-07-15,0.47974457641587687,raised,5,12,acquisition integration; cybersecurity threats; litigation risk; litigation risk in defined contribution business; need for litigation reform or advice reform to add private markets exposure into dc plans
BLK,Q3-2025,2025-10-14,0.5353360867099809,raised,5,6,credit stresses in syndicated loan markets and banks; idiosyncratic pockets of stress in consumer receivables market; market anxieties; operational complexities; potential frauds in private asset based finance
BLK,Q4-2025,2026-01-15,0.5706160984140106,raised,5,9,competitive pressures; elevated seasonal redemptions and profit taking in q4 flows; fiduciary ruling; g a growth; liquidity reversing
BLK,Q1-2026,2026-04-14,0.47788447462666633,raised,5,9,energy prices; higher energy costs being absorbed by governments leading to rising deficits; market volatility; middle east conflict; potential shift in sovereign wealth behavior due to geopolitical macro challenges
C,Q4-2023,2024-01-17,0.2587088002203021,lowered,5,6,argentina business model risks; credit card late fee proposals and potential revenue impact; credit losses; currency risk; rate cuts
C,Q1-2024,2024-04-12,0.3761342264597989,maintained,5,8,credit quality concerns in the credit card business; elevated expenses; geopolitical risks; geopolitical risks and fragility; regulatory scrutiny
C,Q2-2024,2024-07-12,0.3675950275863177,raised,5,4,data issues; regulatory approval; regulatory scrutiny; timeframes
C,Q3-2024,2024-10-15,0.42183323188618005,lowered,5,7,concerns about judicial reform in mexico; deteriorating macro backdrop for mexico; disconnect between performance and stock price; execution challenges; market conditions
C,Q4-2024,2025-01-15,0.4475925194344912,raised,5,2,banamex ipo timing; nii ex markets
C,Q1-2025,2025-04-15,0.27719904073130275,none,5,6,potential impact of lower rates on nii; rate sensitivity; scb volatility; transformation efforts; uncertainty around client behavior and market conditions
C,Q2-2025,2025-07-15,0.5176461791230944,raised,5,9,circle payment network; competition from stablecoin companies and potential disruption of traditional offerings; geopolitical uncertainty affecting client engagement and global activity; low roce; regulatory environment
C,Q3-2025,2025-10-14,0.5385322438639281,none,5,6,credit risk associated with lending to nbfi; fx impact; low hanging fruit picked; nbfi exposure; rapid loan growth to non depository financial institutions
C,Q4-2025,2026-01-13,0.4992068224023064,raised,5,6,macro uncertainty; macro uncertainty affecting card ncls; market conditions; market conditions affecting the ipo of mexican business; ncls
FAST,Q4-2023,2024-01-18,0.15387687186170465,none,5,12,cautionary customers; competition from local and national competitors; e commerce cannibalization; intensifying competition from other companies; mix negative
FAST,Q1-2024,2024-04-11,0.11322884848233392,none,5,9,ag and truck cycles; cyclicality; disruption from change and realignment of sales teams; general softness across end markets; inflation in raw materials particularly steel
FAST,Q2-2024,2024-07-12,0.05196139290449001,none,5,11,challenging macro environment; election noise; impact of manufacturing challenges on mature onsites; macro headwinds; macro slowdown
FAST,Q3-2024,2024-10-11,0.15418030757336282,none,5,11,ag weakness; boeing strike; canada duties on gloves; channel visibility; contraction in spend per customer wiping out 31 of growth
FAST,Q4-2024,2025-01-17,0.07762421590086063,lowered,5,12,80 20 customer base; challenges in managing inventory levels and availability; concentration of sales; e commerce challenges; impact of weak fasteners and strong safety on mix
FAST,Q1-2025,2025-04-11,0.24140424372298896,none,5,11,challenges in creating optionality for customers due to tariffs; difficulty in justifying investment in scale manufacturing in north america; elevated freight expense; margin pressure; potential for slower demand growth
FAST,Q2-2025,2025-07-14,0.3210364794528326,raised,5,11,challenging gross margin due to higher cost inventory; competitive pressure; e commerce challenges; fatigue among customers and employees leading to increased price sensitivity; price cost becoming challenging in the second half of the year
FAST,Q3-2025,2025-10-13,0.37882015848756195,none,5,9,calendar issues in december; gross margin drop in the fourth quarter; margin squeeze; margin squeeze in q4 due to rising costs; pmi uncertainty
FAST,2026_01_20,2026-01-20,0.3656874539362243,raised,5,12,crickets; holiday timing; holiday timing and extended shutdowns; incremental price; input cost and customer behavior impact on pricing
FAST,Q1-2026,2026-04-13,0.40622739609141284,maintained,5,15,branded products; challenging customer conversations due to changing supply chain facts; competition not charging for tariffs on imports; current contract customers pushing back hard on price increases; impact of tariffs and inflation on business
