audit_id	sentence_id	source_file	stratum	j1_label	j2_label	j3_label	gold_final	audit_label	audit_decision	audit_rationale	text
A01	BLK_Q3-2024.txt#0000381	BLK_Q3-2024.txt	boilerplate|boilerplate|substantive|substantive	boilerplate	boilerplate	substantive	substantive	substantive	keep	Specific named fund/product; material product inventory.	We have a credit strategies interval fund, CREDX.
A02	JNJ_Q2-2025.txt#0000189	JNJ_Q2-2025.txt	boilerplate|boilerplate|substantive|substantive	boilerplate	boilerplate	substantive	substantive	substantive	ambiguous_keep	Guidance/phasing for analyst models; kept substantive under ambiguity rule.	I'll now provide some qualitative considerations on phasing for your models.
A03	JNJ_Q1-2026.txt#0000353	JNJ_Q1-2026.txt	boilerplate|substantive|boilerplate|substantive	boilerplate	substantive	boilerplate	substantive	substantive	keep	Specific disclosure policy about MFA sales.	We actually don't disclose the [ MFA ] sales at this point in time.
A04	C_Q2-2024.txt#0000433	C_Q2-2024.txt	substantive|boilerplate|boilerplate|boilerplate	substantive	boilerplate	boilerplate	boilerplate	boilerplate	keep	Generic process/resource statement without concrete metric or business fact.	That will be a process for demonstrating to them that we are spending and allocating the appropriate resources to accomplishing the commitments that we have.
A05	GS_Q4-2024.txt#0000204	GS_Q4-2024.txt	substantive|boilerplate|boilerplate|boilerplate	substantive	boilerplate	boilerplate	boilerplate	boilerplate	keep	Generic confidence language.	We have a high level of confidence in our ability to execute against that.
A06	JPM_Q2-2024.txt#0000291	JPM_Q2-2024.txt	substantive|boilerplate|boilerplate|boilerplate	substantive	boilerplate	boilerplate	boilerplate	boilerplate	ambiguous_keep	Fragment refers to organic growth but makes no material claim.	And I mean, I understand it's a function of, okay, how much do we organically grow.
A07	JPM_Q3-2025.txt#0000132	JPM_Q3-2025.txt	substantive|boilerplate|boilerplate|boilerplate	substantive	boilerplate	boilerplate	boilerplate	boilerplate	ambiguous_keep	References a press release but does not state its material content.	And yes, yesterday's press release is an extension of that.
A08	NVDA_Q4-2025.txt#0000203	NVDA_Q4-2025.txt	substantive|boilerplate|boilerplate|boilerplate	substantive	boilerplate	boilerplate	boilerplate	substantive	correct_to_substantive	Strategic/product-market claim about software direction.	And so we have a fairly good sense that this is the future of software.
A09	PLTR_Q4-2023.txt#0000298	PLTR_Q4-2023.txt	substantive|boilerplate|boilerplate|boilerplate	substantive	boilerplate	boilerplate	boilerplate	boilerplate	keep	Vague organizational value statement with no concrete business detail.	And they're often responsible for global business value.
A10	WFC_Q4-2025.txt#0000198	WFC_Q4-2025.txt	substantive|boilerplate|boilerplate|boilerplate	substantive	boilerplate	boilerplate	boilerplate	boilerplate	keep	Answer-structure sentence; no material content yet.	But as you said, you really got 3 things going on.
